PX409-USBH - 487885,,PX409-USBH - 487884,
Units:,psi,Units:,psi
Custom Scalar:,none,Custom Scalar:,none
Custom Offset:,none,Custom Offset:,none
Start:,2025-07-28 11:27:04.244,Start:,2025-07-28 11:27:04.114
End:,2025-07-28 01:41:03.461,End:,2025-07-28 01:41:03.388
Count:,40464,Count:,40455
Low:,-14.6091842651367,Low:,-15.5867481231689
High:,1521.8125,High:,1518.83020019531

Time,Value,Time,Value
2025-07-28 11:27:35.635 AM,-14.4187793731689,2025-07-28 11:27:35.513 AM,-15.5542087554932
2025-07-28 11:27:35.834 AM,-14.4179649353027,2025-07-28 11:27:35.712 AM,-15.5761737823486
2025-07-28 11:27:36.033 AM,-14.4114551544189,2025-07-28 11:27:35.911 AM,-15.5745468139648
2025-07-28 11:27:36.231 AM,-14.4187793731689,2025-07-28 11:27:36.109 AM,-15.5851211547852
2025-07-28 11:27:36.430 AM,-14.4391212463379,2025-07-28 11:27:36.308 AM,-15.5867481231689
2025-07-28 11:27:36.629 AM,-14.4431896209717,2025-07-28 11:27:36.507 AM,-15.5574626922607
2025-07-28 11:27:36.827 AM,-14.4423751831055,2025-07-28 11:27:36.706 AM,-15.5411930084229
2025-07-28 11:27:37.026 AM,-14.4309844970703,2025-07-28 11:27:36.904 AM,-15.5298042297363
2025-07-28 11:27:37.225 AM,-14.4277286529541,2025-07-28 11:27:37.103 AM,-15.5281772613525
2025-07-28 11:27:37.423 AM,-14.4285430908203,2025-07-28 11:27:37.302 AM,-15.5346851348877
2025-07-28 11:27:37.622 AM,-14.4187793731689,2025-07-28 11:27:37.500 AM,-15.5542087554932
2025-07-28 11:27:37.821 AM,-14.4138965606689,2025-07-28 11:27:37.699 AM,-15.5501403808594
2025-07-28 11:27:38.019 AM,-14.4073867797852,2025-07-28 11:27:37.898 AM,-15.5436325073242
2025-07-28 11:27:38.218 AM,-14.4049453735352,2025-07-28 11:27:38.097 AM,-15.5346851348877
2025-07-28 11:27:38.417 AM,-14.4155235290527,2025-07-28 11:27:38.295 AM,-15.5005168914795
2025-07-28 11:27:38.616 AM,-14.4130821228027,2025-07-28 11:27:38.494 AM,-15.489128112793
2025-07-28 11:27:38.814 AM,-14.39111328125,2025-07-28 11:27:38.693 AM,-15.5021438598633
2025-07-28 11:27:39.013 AM,-14.3821620941162,2025-07-28 11:27:38.892 AM,-15.5289897918701
2025-07-28 11:27:39.212 AM,-14.3780937194824,2025-07-28 11:27:39.090 AM,-15.5314311981201
2025-07-28 11:27:39.410 AM,-14.4082012176514,2025-07-28 11:27:39.289 AM,-15.5590896606445
2025-07-28 11:27:39.609 AM,-14.4326114654541,2025-07-28 11:27:39.488 AM,-15.547700881958
2025-07-28 11:27:39.808 AM,-14.4407482147217,2025-07-28 11:27:39.686 AM,-15.5241088867188
2025-07-28 11:27:40.006 AM,-14.4415626525879,2025-07-28 11:27:39.885 AM,-15.5371246337891
2025-07-28 11:27:40.205 AM,-14.4301700592041,2025-07-28 11:27:40.084 AM,-15.5086517333984
2025-07-28 11:27:40.404 AM,-14.4293575286865,2025-07-28 11:27:40.283 AM,-15.5135326385498
2025-07-28 11:27:40.602 AM,-14.4309844970703,2025-07-28 11:27:40.481 AM,-15.5265502929688
2025-07-28 11:27:40.801 AM,-14.4212188720703,2025-07-28 11:27:40.680 AM,-15.5371246337891
2025-07-28 11:27:41.000 AM,-14.4472579956055,2025-07-28 11:27:40.879 AM,-15.553394317627
2025-07-28 11:27:41.198 AM,-14.4562091827393,2025-07-28 11:27:41.078 AM,-15.5647850036621
2025-07-28 11:27:41.397 AM,-14.4675998687744,2025-07-28 11:27:41.276 AM,-15.5509548187256
2025-07-28 11:27:41.596 AM,-14.4887561798096,2025-07-28 11:27:41.475 AM,-15.5363121032715
2025-07-28 11:27:41.794 AM,-14.4586505889893,2025-07-28 11:27:41.674 AM,-15.5428199768066
2025-07-28 11:27:41.993 AM,-14.4472579956055,2025-07-28 11:27:41.872 AM,-15.5338706970215
